
"I'm angry with your service";flight_experience_review;0.70993638038635
"Do you fly to Japan?";flight_ticket_booking;0.35349833965302
"Can someone help?";flight_question;0.90283145904541
"Hello, I need to book a flight to New York";flight_ticket_booking;0.33944751024246
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hello, I need some help finding a lost bag";flight_baggage_lost;0.34942548274994
empty;no_intent_found;empty
"Hey, can you help. me?";flight_question;0.81734113693237
"Do you fly to Namibia?";flight_ticket_booking;0.38997752666473
"Hi! I need your help. ";flight_question;0.78863182067871
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
Hello;small_talk;1
empty;empty_string;empty
"Hello. I am waiting for an update on flight 71616?";flight_canceled;0.30027521848679
empty;no_intent_found;empty
empty;no_intent_found;empty
"Meeee!! I will be travelling with @_claralines";small_talk;0.37116878032684
Hey;small_talk;1
empty;no_intent_found;empty
empty;empty_string;empty
"OK, look forward to hearing from you";small_talk;0.30445967351004
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
"Hi Claralines, I need help with my booking.";flight_ticket_booking_changes;0.27821053862572
"yoyo whaddup! my flight booking failed?";flight_ticket_booking_changes;0.30565252304077
empty;no_intent_found;empty
"I need to change my flight for Friday afternoon. Confirmation number 454GFC";flight_number;0.52422664165497
"I have another question- can you help?";flight_question;0.91468386650085
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Can you help me with my ticket please, urgently";flight_ticket_cancel;0.36796921491623
empty;no_intent_found;empty
"Talk to Human";small_talk;0.22708443653793
empty;no_intent_found;empty
empty;no_intent_found;empty
Hi!;small_talk;1
"It is, thanks for your help. Any new deals?";flight_end_conversation;0.26799990640448
empty;no_intent_found;empty
"Hello! Could I PLEASE get an update on my tickets issue (40048336621 case number)";flight_number;0.43294997215271
empty;no_intent_found;empty
"Hi really need some help from you guys!";flight_question;0.73409266471863
"Hello really need some help!";flight_question;0.77925424575806
"Get Started";small_talk;0.58083984851837
"Hello I need some help";flight_question;0.83312788009644
empty;no_intent_found;empty
empty;no_intent_found;empty
"⏎ Go Back";small_talk;0.26583748443418
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
great;small_talk;0.68210906982422
"Ive been having a problem with my transport. can someone help?";flight_question;0.34719282388687
"Do you fly to Cuba?";flight_ticket_booking;0.3421998500824
"Hi Claralines - any new flight deals?";small_talk;0.29576862454414
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"this me Rifas";small_talk;0.23720023818004
hi;small_talk;1
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hi! I need to rebook my flight to Miami. ";flight_ticket_booking_changes;0.28696567416191
empty;empty_string;empty
"Hello I need help";flight_question;0.84585256576538
"Hello, I still need help! I lost my carry on on the last flight!";flight_baggage_lost;0.29792630672455
"Hello Claralines - I have still not received my Nice refund. Whats the status with this?";flight_ticket_refunds;0.27625783818816
empty;no_intent_found;empty
"I have a delay";flight_delays;0.51664552688599
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
hello;small_talk;1
empty;no_intent_found;empty
empty;no_intent_found;empty
"Get Started";small_talk;0.58083984851837
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Are you. there?";small_talk;0.70729336738586
"Hey there!";small_talk;0.93240141868591
"Do you fly to Singapore directly?";flight_ticket_booking;0.33800694942474
"I want to change my order";flight_ticket_booking_changes;0.53932273387909
"Hi again";small_talk;0.89400420188904
Hello!!!!;small_talk;1
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
Hi;small_talk;1
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hi Can you help me?";flight_question;0.87140703201294
empty;no_intent_found;empty
"What do you think?";small_talk;0.63544678688049
"So my luggage did not appear but it might be due to the transfer?";flight_baggage_lost;0.65732917785645
Hi;small_talk;1
"Do you have direct flights to Kuwait?";flight_ticket_booking;0.35678700208664
"Hi! Im currently in Brussels and my luggage is lost! Help.";flight_baggage_lost;0.75255441665649
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hello I have had some issues with a cancelled flight!";flight_experience_review;0.35190055370331
empty;empty_string;empty
"Hello hello";small_talk;0.93899636268616
empty;no_intent_found;empty
"Hi- I need to book a flight for August to Miami. ";flight_ticket_booking;0.34997535943985
empty;empty_string;empty
help;flight_question;0.89356560707092
empty;no_intent_found;empty
hello;small_talk;1
"Get Started";small_talk;0.58083984851837
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;empty_string;empty
"Who can I reach out to over the weekend? I would like to know when I will be able to fly to Mozambique again.";flight_question;0.41355872154236
empty;no_intent_found;empty
empty;empty_string;empty
empty;no_intent_found;empty
Thanks;small_talk;0.38029172426078
"Hello Claralines";small_talk;0.89540600776672
"my booking number is 345678";flight_number;0.82735810279846
"Hi Claralines I need help with my flight";flight_ticket_booking_changes;0.30646022558212
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hello Claralines, I need help with my booking.";flight_ticket_booking_changes;0.28621066212654
Delay;flight_delays;0.36670079514579
"Help! Crisis";flight_question;0.39955716638634
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hi Claralines, looking forward to flying with you again soon!";small_talk;0.5297456741333
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"I would like to formally escalate my refund request and talk to a line manager, please!";flight_ticket_refunds;0.67498912811279
"Thats unfortunate...I am still waiting for my refund and have not heard back from customer service in over 2 weeks!";flight_ticket_refunds;0.32718370911659
"Hello my luggage was lost on my last flight! Really need some guidance on getting it back!";flight_baggage_lost;0.69113402366638
empty;no_intent_found;empty
"Hi guys! Long time no speak";small_talk;0.81367063522339
"Awesome help";flight_question;0.64238986968994
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
Hello;small_talk;1
"Oops. I meant hello";small_talk;0.73506841659546
empty;no_intent_found;empty
"Do we have to be at the airport 3 hours before now? it is just an EU flight";flight_ticket_booking;0.29013991951942
empty;no_intent_found;empty
"Do you have flights from Amsterdam to Sweden?";flight_ticket_booking;0.52208812236786
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hello I really need some help!";flight_question;0.80744414329529
empty;no_intent_found;empty
You*;small_talk;0.42521998846206
"Thank to";small_talk;0.825541639328
empty;no_intent_found;empty
"Can you help me?";flight_question;1
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hi, do you know when flights to Portugal will resume?";flight_ticket_booking;0.38550622463226
empty;no_intent_found;empty
"Talk to Human";small_talk;0.22708443653793
empty;no_intent_found;empty
empty;no_intent_found;empty
"Hi can you help me please?";flight_question;0.86091122627258
empty;no_intent_found;empty
empty;no_intent_found;empty
empty;no_intent_found;empty
"Did flights to Jeddah start?";flight_ticket_booking;0.3999981045723
